regime_id,n_bars,start,end,duration_days,avg_return,cum_return
142,4,2020-02-19 00:00:00+00:00,2020-02-22 00:00:00+00:00,4,0.00754287513907867,0.03022092949626276
143,30,2020-02-23 00:00:00+00:00,2020-03-23 00:00:00+00:00,30,-0.00834892662212838,-0.3213979114355149
144,2,2020-03-24 00:00:00+00:00,2020-03-25 00:00:00+00:00,2,-0.0013419415748311403,-0.0027261388608421644
145,6,2020-03-26 00:00:00+00:00,2020-03-31 00:00:00+00:00,6,-0.0016599987864037529,-0.01632710185753139
146,12,2020-04-01 00:00:00+00:00,2020-04-12 00:00:00+00:00,12,0.0034170558189857056,0.036062953511393214
147,3,2020-04-13 00:00:00+00:00,2020-04-15 00:00:00+00:00,3,0.013936433601323905,0.039701740238186956
148,4,2020-04-16 00:00:00+00:00,2020-04-19 00:00:00+00:00,4,-0.00807739084531206,-0.03299797661870485
149,2,2020-04-20 00:00:00+00:00,2020-04-21 00:00:00+00:00,2,0.017095890221595467,0.03418357560927432
150,29,2020-04-22 00:00:00+00:00,2020-05-20 00:00:00+00:00,29,0.00918304854998405,0.27602810651926757
151,3,2020-05-21 00:00:00+00:00,2020-05-23 00:00:00+00:00,3,-0.01049290259317485,-0.032085190535755204
152,3,2020-05-24 00:00:00+00:00,2020-05-26 00:00:00+00:00,3,0.014782883157356578,0.04444067769616078
153,15,2020-05-27 00:00:00+00:00,2020-06-10 00:00:00+00:00,15,0.0015550278506121082,0.01533162981890901
154,5,2020-06-11 00:00:00+00:00,2020-06-15 00:00:00+00:00,5,0.004637162466992861,0.023197286355181035
155,6,2020-06-16 00:00:00+00:00,2020-06-21 00:00:00+00:00,6,0.002059779593588181,0.011606182415218269
156,2,2020-06-22 00:00:00+00:00,2020-06-23 00:00:00+00:00,2,-0.017397932483440237,-0.03473103168088609
157,12,2020-06-24 00:00:00+00:00,2020-07-05 00:00:00+00:00,12,0.0006300582550549475,0.006641892885787648
158,2,2020-07-06 00:00:00+00:00,2020-07-07 00:00:00+00:00,2,0.0029440672083762,0.005638117342384064
159,3,2020-07-08 00:00:00+00:00,2020-07-10 00:00:00+00:00,3,-0.006667357368495774,-0.01993778325535911
160,2,2020-07-11 00:00:00+00:00,2020-07-12 00:00:00+00:00,2,0.0001833356141573983,0.00035280048915908857
161,8,2020-07-13 00:00:00+00:00,2020-07-20 00:00:00+00:00,8,0.0018011094572956965,0.014202243495776923
162,35,2020-07-21 00:00:00+00:00,2020-08-24 00:00:00+00:00,35,0.005896170736302626,0.212402492189242
